account_id,account_age_days,kyc_risk,shared_device_count,is_mule
ACC0000,1136,4,1,0
ACC0001,1304,3,2,0
ACC0002,1734,1,1,0
ACC0003,131,3,7,1
ACC0004,340,3,2,0
ACC0005,1406,4,2,0
ACC0006,1697,3,6,1
ACC0007,1342,2,2,0
ACC0008,1525,2,2,0
ACC0009,395,4,2,0
ACC0010,286,1,2,0
ACC0011,1347,2,1,0
ACC0012,757,1,1,0
ACC0013,484,3,1,0
ACC0014,1715,4,2,0
ACC0015,709,4,1,0
ACC0016,199,2,1,0
ACC0017,967,3,7,1
ACC0018,1277,4,1,0
ACC0019,1164,1,1,0
ACC0020,656,1,1,0
ACC0021,176,2,2,0
ACC0022,610,4,2,0
ACC0023,251,2,9,1
ACC0024,1379,1,2,0
ACC0025,1373,4,1,0
ACC0026,965,3,2,0
ACC0027,518,4,1,0
ACC0028,44,2,1,0
ACC0029,1965,2,2,0
ACC0030,1421,2,2,0
ACC0031,1423,2,4,1
ACC0032,1855,1,1,0
ACC0033,411,2,2,0
ACC0034,171,2,4,1
ACC0035,279,3,2,0
ACC0036,1304,4,2,0
ACC0037,1760,4,1,0
ACC0038,1735,4,1,0
ACC0039,729,1,2,0
ACC0040,888,1,2,0
ACC0041,1955,1,2,0
ACC0042,197,4,1,0
ACC0043,1074,1,1,0
ACC0044,1846,1,1,0
ACC0045,1872,1,2,0
ACC0046,1162,4,2,0
ACC0047,1505,3,1,0
ACC0048,1532,1,2,0
ACC0049,1708,3,1,0
ACC0050,388,1,2,0
ACC0051,240,2,9,1
ACC0052,1061,3,1,0
ACC0053,1873,4,2,0
ACC0054,1066,4,1,0
ACC0055,416,2,2,0
ACC0056,814,3,2,0
ACC0057,1905,2,1,0
ACC0058,1580,1,3,1
ACC0059,622,3,2,0
ACC0060,652,1,1,0
ACC0061,1251,3,1,0
ACC0062,407,3,1,0
ACC0063,402,3,1,0
ACC0064,1891,2,2,0
ACC0065,1494,3,1,0
ACC0066,873,3,1,0
ACC0067,573,1,2,0
ACC0068,1933,2,1,0
ACC0069,1440,3,1,0
ACC0070,1688,3,1,0
ACC0071,1069,1,2,0
ACC0072,1872,3,1,0
ACC0073,1119,4,2,0
ACC0074,691,1,2,0
ACC0075,1986,1,2,0
ACC0076,805,4,2,0
ACC0077,1589,4,2,0
ACC0078,1991,3,7,1
ACC0079,1381,1,1,0
ACC0080,199,1,1,0
ACC0081,1410,3,2,0
ACC0082,642,4,1,0
ACC0083,1778,3,1,0
ACC0084,719,4,1,0
ACC0085,658,2,1,0
ACC0086,1258,3,2,0
ACC0087,693,4,1,0
ACC0088,1860,2,2,0
ACC0089,1641,4,1,0
ACC0090,1725,1,2,0
ACC0091,1530,2,2,0
ACC0092,1301,2,1,0
ACC0093,1419,3,1,0
ACC0094,1646,1,2,0
ACC0095,1114,3,1,0
ACC0096,11,2,6,1
ACC0097,864,1,2,0
ACC0098,1258,1,1,0
ACC0099,1671,2,1,0
ACC0100,1717,2,2,0
ACC0101,1743,4,1,0
ACC0102,845,3,1,0
ACC0103,1217,3,1,0
ACC0104,776,2,8,1
ACC0105,1870,4,2,0
ACC0106,207,2,1,0
ACC0107,1544,4,1,1
ACC0108,1234,4,1,0
ACC0109,1359,4,1,0
ACC0110,1804,4,2,0
ACC0111,964,4,1,0
ACC0112,1379,3,1,0
ACC0113,156,4,2,0
ACC0114,1744,4,1,0
ACC0115,938,4,7,1
ACC0116,347,4,1,0
ACC0117,1812,4,1,0
ACC0118,482,2,1,0
ACC0119,1448,2,2,0
ACC0120,1644,3,2,0
ACC0121,153,2,2,0
ACC0122,1026,4,2,0
ACC0123,890,2,1,0
ACC0124,1337,2,2,0
ACC0125,462,1,2,0
ACC0126,1024,1,1,0
ACC0127,1132,3,2,0
ACC0128,217,3,2,0
ACC0129,161,2,2,0
ACC0130,1706,4,2,0
ACC0131,596,1,2,0
ACC0132,1453,2,2,0
ACC0133,1885,2,1,0
ACC0134,1145,2,1,0
ACC0135,108,1,1,0
ACC0136,923,4,2,0
ACC0137,347,2,2,0
ACC0138,1196,4,1,0
ACC0139,1714,4,1,0
ACC0140,1613,1,2,0
ACC0141,1310,4,2,0
ACC0142,1537,4,8,1
ACC0143,1168,3,1,0
ACC0144,649,1,2,0
ACC0145,469,3,1,0
ACC0146,479,3,2,0
ACC0147,759,2,2,0
ACC0148,239,1,1,0
ACC0149,447,4,1,0
ACC0150,36,2,1,0
ACC0151,807,1,1,1
ACC0152,462,4,1,0
ACC0153,825,3,2,0
ACC0154,556,4,1,0
ACC0155,1545,1,2,0
ACC0156,1253,2,1,0
ACC0157,1079,1,2,0
ACC0158,108,4,1,0
ACC0159,1070,4,1,0
ACC0160,506,2,5,1
ACC0161,616,3,2,0
ACC0162,1002,4,1,0
ACC0163,262,1,2,0
ACC0164,1194,4,1,0
ACC0165,137,2,1,0
ACC0166,1768,2,2,0
ACC0167,1356,4,2,0
ACC0168,1825,2,2,0
ACC0169,1976,2,7,1
ACC0170,971,3,1,0
ACC0171,499,2,2,0
ACC0172,794,4,1,0
ACC0173,1426,3,2,0
ACC0174,1209,3,1,0
ACC0175,1715,3,2,0
ACC0176,1900,2,1,0
ACC0177,417,1,2,0
ACC0178,1539,3,1,0
ACC0179,45,1,2,0
ACC0180,330,4,2,0
ACC0181,409,2,2,0
ACC0182,1916,3,2,1
ACC0183,843,4,7,1
ACC0184,1992,2,1,0
ACC0185,1698,2,1,0
ACC0186,1223,1,2,0
ACC0187,323,2,2,0
ACC0188,314,4,2,0
ACC0189,847,3,2,0
ACC0190,1012,4,1,0
ACC0191,1002,4,1,0
ACC0192,1605,4,2,0
ACC0193,14,3,2,0
ACC0194,783,1,4,1
ACC0195,1383,3,1,0
ACC0196,832,4,2,0
ACC0197,665,1,2,1
ACC0198,645,2,2,0
ACC0199,1692,1,2,0
